评论用户id,评论内容,评论提交时间
495487272,我们在一间双人房住了四个晚上。地理位置优越。有很好、很细心的员工，我想要给他们一个大大的赞。我丈夫的自行车是装在箱子里的，很显然你不能在火车或公车上带个大箱子。工作人员帮我们租了一辆私人汽车去机场。他们总是及时答复我们的询问。房间很小，非常干净、安静，价格合理。我们从前台购买了观光折扣卡，非常有用，可以游览大部分的景点。您可以从附近的百货商店购买一日电车票，很值。我们的房间有两个小型的足底按摩机，经过一整天的观光后非常放松。我很想推荐这家酒店。,2018-01-15 09:11:39
495015597,现时只有九州地区有Forza Hotel，橙灰色的外墙很摩登，一定也是我想入住的其中一间酒店，但由于博多区的价钱较贵，难得去长崎，难得又有Forza Hotel，而且价钱在我预期内，因此一定要入住。此酒店的位置很方便，长崎电车观光通站一出便到，而这间酒店是在商场Hama Cross上，而且一落便是商店街；大堂职员非常亲切，职员送上Bath Salt & Lotion，大堂的咖啡很好味；房间的设施很新，房间也很大，有iPad及小型腰部按摩器，住得非常舒适，超出本人的预期，极力推荐朋友们入住。,2018-01-13 10:25:03
494883621,这是一个很棒的观光地方。长崎非常拥挤，但我们很轻易地从这家酒店看到主要的景点。早餐很美味，是自助餐的形式。如果你想快速享受下咖啡/丹麦点心，在酒店前方的有遮盖的购物拱廊里很多店在售卖。房间空间很大，床很舒适，我们住在舒适的双人房间里。,2018-01-12 17:04:35
473237827,酒店位于室内的长崎购物街，毗邻食品店和便利店，非常方便。酒店不提供停车场所，但是有一个合作停车场，它可以为夜间停车提供折扣价格，每晚1000日元。酒店员工非常有礼貌，乐于助人。房间有点小，但足够了。有洗衣机和烘干机可以使用。总的来说，是个到九州环岛旅游期间住在长崎的好地方。,2017-10-10 17:09:14
446912738,"饭店地点很好，柜台服务人员英文很好、很亲蚎。路面电车""观光通""站下车，过小马路就到。附近有很多好吃好逛的。饭店新颖整洁，房间还有ipad和按摩枕，浴室备品很齐全好用。早餐简单但丰富，是适合在长崎旅游的好住宿。",2017-07-25 10:12:38
443068736,"酒店位于长崎市中心区域﹐从长崎火车站乘地面电车(一号线)大约需时十至十五分钟﹐到达观光通站下车﹐步行一至两分钟便可到达酒店入口﹐再乘电梯到四楼便是酒店大堂。

酒店职员友善和有礼﹐英文沟通能力良好﹐对于酒店附近的环境和一些著名景点(例如: 稻佐山)的公共交通查询﹐都很详细地解答。

出发前已预先联络酒店希望房间位于高层﹐酒店方面亦能配合。今次预订的房间备有按摩椅﹐而这间酒店每个房间都配备 iPad ﹐取代传统的文件夹﹐方便客人查询酒店资料﹐亦可用作上网之用。此外﹐厕所设有浴缸﹐空间亦算宽敞﹐个人护理用品齐备。另外﹐酒店四楼大堂亦提供二十四小时免费咖啡和茶供客人使用。

整体来说﹐房间的质素和价钱性价比很高﹐地理位置亦很好﹐往市内其他旅游景点方便快捷﹐值得推介。",2017-07-13 10:13:46
439691533,位于长崎闹区的商务饭店，从长崎车站可坐路面电车抵达，附近就是长崎最热闹的商店街，有许多药妆店可逛，房间内部大小中等，干净舒适，饭店主打有按摩器材，但只是一个小小按摩肩颈的小枕头，早餐种类不多但该有的都有，有一位员工英文非流利完全没有口音，饭店也可以当日寄放行李。,2017-07-03 02:18:46
678685814,"酒店对面就是居酒屋
即使从车站至酒店也只需10分钟车程
邻近有不少餐厅 酒店很窝心提供不少电器和设施
房间虽小但床舒服
晚上酒店附近亦相当宁静",2020-01-20 10:21:34
660707766,房间新净，光猛，非常舒适，只是有点小，行李不能平铺。地点一流，在观光通入口，对面是非常著名的蕃茄拉面铺，距离各观光景点也是15-20分钟步程,2019-10-20 10:18:11
651258903,酒店位于市中心，可步行至Dejima，中国城，和许多不错的餐厅。他们提供非常好的自助早餐，特色是长崎当地的美食。我们住的房间干净舒适。酒店的工作人员都很友好和乐于助人。我丈夫因为时差，连续两天在凌晨4点去大堂坐着使用他的笔记本电脑。每次前台员工都会立即为他打开浓缩咖啡机。这真是我们家庭度假的好选择。,2019-09-16 17:03:33
639246074,如果你要坐JR，从长崎站搭乘1号电车，在33号车站下车。大家都知道这家酒店，因为它的位置特别便利。就在商店街。酒店下方什么都有，而且商店街都有遮挡！不用担心日晒/下雨了。离景点也很近。走路就行！酒店很简单，只有基础设施。提供免费咖啡。可以洗衣、烘干。在长崎逛了一天，住了一晚。房间面积也很合理。,2019-08-12 17:31:31
609016461,"这次选择的房型内提供按摩椅，饭店柜台人员亲切，入住手续简洁．
还有入浴盐及保养品可提供领取，房间舒适阳光充足．
地点于商店街内购物便利，只有未提供停车场较为不便！",2019-04-20 11:19:48
604910701,来到长崎，我们还是选择了Forza，饭店就在观光通电车站走路1分钟的地方，饭店附近有很多餐厅和商店、连超市都有，非常的方便。饭店设计明亮简洁，饭店人员处理房客问题时很专业快速，房间和床的大小适中，房间里面还有一台厉害的按摩椅，是一间会让我们再入住的饭店👍🏻,2019-04-04 10:21:21
596637968,房间比起其他酒店应该算大，楼下就是商店街所以购物方便，但是如果以稻佐山夜景或军舰岛行程就不是好位置，没有接驳车或公车。房间桌子完全没有擦，还是上位房客留下的残渣。床的棉絮灰尘也很明显。,2019-02-28 10:30:58
590820329,我们在日本旅行了将近一个月，竞速酒店已经成为我们最爱的酒店。以非常合理的价格，你可以得到一个现代化的，干净的，尺寸良好的房间。独立的淋浴和卫生间是一个额外的加分点，淋浴区的大小也很适宜。床很舒服，还有一张可以放松的沙发。大厅里有提供免费的咖啡，虽然不够热，但味道也不错。工作人员很可爱，随时准备帮忙。地理位置优越，有很多商店和吃的地方，如果你喜欢正宗的印度菜，在拐角处有一个叫Mughal Mahal的地方。同样在长崎车站，BullsKitchen有美味的牛排。虽然早餐主要是日式的，但西式食物足够你吃饱了，有鸡蛋，培根吐司麦片。别犹豫了，快预订这家酒店吧。你不会失望的。,2019-02-01 09:05:42
587681959,非常舒适的房间，干净和许多附加设备，ipad和旅行伙伴电话!早餐的选择很好。所有员工都非常热情和乐于助人。位置很好，乘电车到旅馆很方便。,2019-01-16 17:04:13
585640089,酒店的位置很好，就在观光景点的中心，购物街的入口。到著名的眼镜桥和中国城只需要步行几分钟。房间的空间足够带小行李箱的两个人住。房间里面有一个小沙发和桌子，感觉很舒适。我不确定我们去的时候算不算淡季，但它的价格只有福冈15平方米的房间价格的一半。我们本来想多住一个晚上的，却在福冈住了1个晚上。唯一的不足就是浴室不够干净，所以我们给四星。,2019-01-07 17:11:21
286073195,首先它靠近有轨电车车站，下车后到达酒店很方便（这在日本很重要因为很多人不会说英语）。其次附近有所需的饭店和商店，而且可以在附近商店买到一天的电车通票。第三，出乎意料的，房间里有一把按摩椅！房间大小适中，干净明亮，而且大多数工作人员可以说英语（应该是因为很多外国人来Nagasaki 出差或者旅游，在街上和电车上都看到好多）。价格很合理。到邮局五分钟，附近有便利店。只要乘坐电车就很容易到达旅游景点，确实很快！,2016-02-05 21:19:58
285040220,飯店的價錢非常優惠 房間乾淨新穎 而且有很多貼心的設備 像是櫃檯的免費咖啡 還有最讚的就是房間的腳部與背部按摩機 交通方面算是ok 鄰近地上電車的車站 附近有商店圈 買東西吃東西都很方便 唯一的缺點大概就是房間真的蠻小的 不過以這個價位來說 真的是無可挑剔了!!,2016-02-01 02:09:02
282610641,"我们一家四口住在了Forza酒店。这家酒店大概适合出差住宿，但不适合家庭来住。
优点：
服务-不错，但很商业化。孩子们喜欢大堂里的免费热饮，尤其是热巧克力。
房间-非常新，有一些漂亮的小配件，比如说多头插座和iPad。内部装饰非常井然有序，但是房间小，而且是双人床（不是大床！）
缺点（如果你开车的话）：
非常非常难找！它是在一条有屋顶的购物街上，车开不进去。停车场距离酒店五分钟走路路程，他们的预订确认邮件上说先停在酒店再去找停车场，但是酒店周围完全没有任何地方可以给我们停！！我们经历了一番怎样的折腾啊！",2016-01-22 21:31:44
258181155,我们到那里是公务出差。酒店布局非常好，酒店房间虽小，但是感觉上还是挺宽敞的。对于我们以前来这里出差的时候住得酒店是有点小。酒店位于一个好位置。这里还有一部很棒的咖啡机！我不是很喜欢铁，但是日本的每个地方都有这种类型的铁。所以我建议你提前烫好你的衣服，或者是给钱让酒店帮你去做。,2015-10-15 21:44:38
258152575,房间比较小，但舒适，整洁，装修精致，有一个大尺寸电视。按摩枕头是我们意料不到的礼物，在每天长途跋涉后，我们每晚都用它。客房内有一台iPad，我们还没有使用过它。工作人员会讲英语和其他语言。早餐也是非常好的。,2015-10-15 21:15:49
253933958,房间有点小，但是很干净，看起来像是室内的无菌小冰块。这家酒店没有什么个性，就好像只是出租一晚的小白格子房间，我都不能再强调这里有多么的小了。我们在很早的时候就离开了这里，因为我们已经待不下去了。如果你需要一个小且干净的房间住一晚的话，这里还是合算的，但是我们会很讨厌在这里住超过一万，或者说除了在这里睡觉的其他事情我们都不喜欢。我们住的这个晚上花了大概80英镑。,2015-09-29 21:42:37
251916317,"福尔扎酒店真的是给了我一个惊喜！我临时决定去长崎旅游，只有为数不多的酒店可以选择了。说实话看了照片后我不是很期待这家酒店，但是到了后我很惊喜！酒店房间很漂亮…有两个大的双人床，有淋浴间/浴室、更衣室，房间还有很多好东西(ipod充电底座、按摩垫、大彩电等等)。酒店位置不错，外面就是电车站，还可以步行去火车站。我没在这里吃早餐,但早餐闻起来不错！整体而言，酒店很赞，我强烈推荐这家酒店。",2015-09-22 22:00:56
214284614,"Forza饭店位于观光通商店街，出长崎车站以后，搭乘公车或路面电车约15分钟可到达，搭路面电车可以到很多观光景点，交通还算便利，附近有很多餐饮名店、超市等，生活机能充足。
请注意，由于长崎车站的路面电车车站需走天桥才能到达（没有电梯或手扶梯），如果携带大型行李的话，前往Forza饭店较为麻烦。
饭店人员很热心，问交通或景点问题都可以快速解答。房间很大，浴室设备完备，网路速度也很快。饭店早餐虽然不是非常豪华，但也不难吃。",2015-05-29 03:38:16
198770006,旅行住在budget plus 这个档次的旅馆挺有趣的，我想也就是国内橘子水晶这一档吧，在这个档次，客户多花的钱不多，达不到4、5星水准，如何让客户提升体验需要花点心思。这次入住的Forza就在长崎商店街入口，所以交通、买东西异常方便，街内甚至还有开到25点的DVD店，FiFi乐晕。这间酒店每天平均日币11000，属于东横Inn+等级。为了让旅客多付这3000-4000日币，每房配有松下的按摩椅、衬衫熨烫器、松下空气清净机、预装许多游戏的iPad、长崎特色早餐、令人想整罐带回家的精油备品、浴缸（没错，这个价位竟然有一个不小的浴缸）、全天候WMF自动咖啡机。这样精心设计的顾客体验，令人感到诚意与贴心！,2015-04-06 18:32:20
333757112,长崎Forza酒店位于主要商业街。这里很容易买到食物或购物。建议从长崎JR先打车到这里。然后，你可以用500日元一天的公共汽车票，想去哪去哪。酒店的房间对于日本的酒店来说是比较大的。有很多新的设备，像i-pad，按摩枕等等。你甚至可以在大堂喝免费的热咖啡或茶。这是一家新旅馆，房间很棒。高度推荐...,2016-07-13 17:33:19
332602005,就在商店街的头 到中华街 去眼镜桥都非常的近 药妆店非常的多 以我个人经验 在长崎买药妆 比在日本其他地方便宜 饭店人员服务非常热情 就算英文有限 也非常努力的对答 早餐有长崎蛋糕可以享用 这点也让人感觉用心,2016-07-10 10:17:02
332072566,Forza酒店拥有一个便利的位置，一个专业（能使用多种语言）的工作人员，并且它提供了一个非常好的价格。酒店位于Hamabura附近，只需一两分钟就到了Kanko-Dori (観光通)电车站。酒店位于拱廊商店街上，那里有许多有趣的店铺，银行，餐馆和药店，随时为你提供服务。我发现酒店的房间特别干净，被褥和枕头都相当不错。早餐略微有限，但可以忽略，因为在大堂内全天侯提供免费的咖啡服务。,2016-07-08 17:05:00
329936317,位于长崎市最繁华的区域之一的中心地带，这个现代酒店有很大的价值也很舒服。小车靠近酒店入口有点困难，因为它坐落在一个很拥挤的购物街道。,2016-07-01 23:33:17
324370968,饭店交通很方便，也邻近商店街（观光通），无论是吃饭、购物都很方便；饭店还有提供好用的吹风机、按摩器、ipad等贴心小物，让旅客可以在累的时候可以好好的使用。这次住的是双床间的房间，还有沙发跟桌子可以吃饭、看电视，房间大小还ok，cp值很高的饭店。,2016-06-15 10:07:28
316740431,"房间以日本商务饭店来说，实在比想像中大。设备很新。
位置就在商店街内，要逛街也很方便。
观光通市电就在楼下，就算下雨也可到市内玩
港人最喜欢的donki也在2分钟脚程内


大爱此饭店!",2016-05-21 10:31:25
291956259,我们在日本就待在商务酒店了，当我们到达长崎的福尔扎酒店时，真的难以相信我们的运气。一家超级现代化又超级值得的酒店。可爱的现代化房间，说英语的和善的员工，超棒的早餐，大厅里免费的咖啡，房间里还有一个按摩枕头。福尔扎酒店可以说在日本创立了一个酒店业的标准。酒店离有轨电车站只有一分钟路程，并且邻近餐馆、商场以及主要的旅游景点。我们在中村吃的饭，就在有轨电车站对面。我们还会再来这的。,2016-02-26 21:11:48
287774477,酒店的位置不错在城市的中心，乘坐电车出行很方便。服务人员都很有礼貌，可以用英语交流。卧室很小，双人床紧贴着墙，晚上的时候走动很困难！早餐不错。,2016-02-11 21:18:20
287156433,"在这住了3天,发现这里价格在日本来说很合理了。房间景观很好，可以看到城市周围的环山。房间很干净，床很舒适，还配有桌椅。卫生间也很好，看起来很新，设计也很现代。总的来说员工友好也有礼貌，但是英语说得不是很好。早餐既不好也不坏。酒店位置在中心，走路就可以到大多数景点，不到十分钟就可以走到海边。",2016-02-09 21:43:50
287154752,长崎值得一去，不仅是因为它著名的历史，参观核弹博物馆时让人触目惊心，还有那有名的Dejima。Forza是家无可挑剔的现代商业酒店，在购物大厦上，靠近主区的酒吧和餐厅。服务不错。房间配有短期小住所需的一切基本用品。从火车站搭有轨电车就可以到。推荐。,2016-02-09 21:41:15
574549981,选择住在这家酒店是因为它的位置。酒店在唐人街(食品街)和购物区的旁边，交通(街头汽车)方便，就在酒店前面。工作人员很友好，但英语说得不是很流利。用英文交流是可以的但对其他的问题不是很有帮助。房间很小，没有壁橱，而且他们提供给你的行李柜放不进任何行李。我把我的行李箱放在了书桌下面(书桌很长)。电视没有英语频道。他们有一个外借的电话，客人可以用它打电话和上网。浴室很小，只提供一套毛巾。与其他酒店相比，免费的洗漱用品不太好。早餐是1800日元，看起来不太好，外面有很多地方可以吃早餐。如果你精打计算的话，这是一家很棒的酒店。,2018-11-13 09:12:45
571248021,离火车站很近，很容易到达所有的旅游景点，距离小火车站也很近。附近有很多便利店和餐馆。房间很舒适，很干净。房间大小和卫生间比我想象的要大。所以真的很值得。,2018-10-31 09:19:48
566318988,饭店就位在商店街入口处，无论吃饭、逛街都非常方便，且商店街出来过个马路就可以搭乘路面电车。订的房间是含有腿部按摩机的房型真的很棒，还提供免费手机可以查询旅游资讯等，下次来长崎绝对会再次入住。,2018-10-15 10:09:47
562544697,这是我第一次访问长崎竞速酒店，而我们需要某个在中心位置的，以及容易到达主要景点的地方。这里很完美，有餐厅、商店和一个不到一分钟就可以到达入口的有轨电车站。房间既干净又舒适，虽然有时对于两个人而言有一点挤。,2018-10-01 23:18:37
559294535,酒店位处商店街，邻近路面电车站，无论购物、用餐或观光都非常便利，而且与大部份景点都是步行距离。酒店房间非常整洁，洗手间与浴室分开，有同行者的话非常方便，浴室设计非常便利于浸浴。而且房间有小型按摩器，又有Handy，配套很好。,2018-09-19 12:30:07
542671267,从服务型员工到酒店房间的大小和酒店的位置，一切都很好。但是，如果你开车来的话，需要将车停放在酒店安排的附近的一个停车场，因为酒店位于步行街，因此在特定时间后不允许停车。,2018-07-30 23:08:26
536491648,Kankodori有轨电车停车站距离酒店几步之遥。酒店位于Hamacross购物中心内。我选择了含早餐的。第一天很棒。随后的日子……并非如此。餐馆、咖啡馆、糕点店和酒吧分布在各个方向。由于地点的关系，我担心噪音会成为一个问题。但旅馆非常安静。房间虽小但很干净。枕头很平，床比我习惯的要硬。优秀的客户服务。酒店整体不错。,2018-07-10 23:09:00
532024137,这家酒店的地理位置很理想。你可以通过一家地下购物中心进入酒店。在下雨天，那里有很多事情可以做，而不必弄湿自己。各式各样的商店、餐厅、快餐食物。电车站就在酒店大门旁边，使得乘坐电车游览城市很轻松方便。酒店的工作人员都很乐于助人、友善和热情。自助早餐非常好，大厅里的免费卡布奇诺咖啡机非常受欢迎。我们把房间升级到有一张更大的床和一台足部按摩器的房间。床很舒服，在结束许多天徒步游览城市后，按摩器感觉很棒。空调很棒，暗色的遮阳帘也是。很棒的地方！,2018-06-25 17:03:46
526732187,"位于路面电车站旁的商店街上离长崎JR 有点远，但讲物和去中华街就十分方便。房间整洁而且大，有iPad和可打电话的smartphone 还有按摩椅和小型腰部按摩器!十分意外!
酒店价格便宜! 再来长崎一定会再入住!",2018-06-05 12:26:21
516672176,太好了，一间一尘不染的房间，里面有舒适的大床。对日本来说，这个房间比大多数的房间都大。步行不远即可到达唐人街和许多餐馆，它们都在步行距离之内。它位于一个大约有4个街区的巨大购物区，但房间是隔音的，所以你不会听到（噪音）。,2018-04-23 17:25:27
388422331,Hotel Forza坐落在长崎交通便利的购物主街道，在这里你步行就可以很轻易的逛遍整个城市。很有餐馆只要漫步就能达到；北面较为平静，南面显得更加活跃热闹。房间功能齐全，大小也合适。需要值得一提的是，酒店内没有传统意义上的酒吧和饭店，但是在附近可以找到很多店，如24小时便利店。性价比很不错。下次来长崎我还会来这里。,2016-12-26 23:05:54
383249108,这家酒店真是一个惊喜。它非常的新（开业甚至不到两年），房间虽然很小，但是非常不错。床很舒适，浴室很大，带步入式淋浴，冰箱随你处置，还有很多设施（甚至提供了一个iPad），他们的隔音措施做得非常好。工作人员，尽管有时候因为语言差异在沟通方面有点困难，总是尽职尽责。酒店毗邻电车站，每分钟都有好几辆出租车经过。接待处旁边有两个自助洗衣店。早餐物有所值，另外这一地区还有很多不错的餐馆。,2016-12-02 23:04:55
369734541,饭店非常的新，饭店在公车站附近，交通非常便利，饭店服务非常好，大厅有免费咖啡可以取用，不过房间有点小，但设备非常好，桌上还有一台Ipad可以查长崎市旅游的资讯，非常好的体验。,2016-10-15 02:17:41
369645693,Forza酒店地理位置优越。刚好位于有轨电车线经过长崎的地方，使它方便到达所有的长崎景点。入口有点难找。只要进入购物中心，往左边看就是它了。房间位于较小的一面，但是很多日式的酒店房间都这样。但是提供所有的便利设施。很棒的早餐，不错的服务。房间里的带多功能充电站的美式插座非常赞！这是我们在长崎很棒的住宿选择！,2016-10-14 23:15:13
357532649,这是一家很不错的酒店，在我整个三星期半的旅程中，这家的房间是我住过的最好的。房间规格是常规大小，浴室特别好。房间里放了一台大屏电视和一张双人床。酒店员工都非常乐于助人，他们一切以你为中心，而且这里很安静。唯一一点不太好的就是酒店没有设置专门的吸烟室，所以一旦有人在房间里抽烟，味道就会散得到处都是。,2016-09-07 23:17:44
341124873,酒店位置极佳，位于观光通这个购物集中地，一出就系电车站，房间入面干净企理，拖鞋及牙擦俾一般中价酒店为佳，床都好舒服，下次再到长崎的话会再入住,2016-07-31 10:13:29
340770230,"设备：感觉新且干净
地点：楼下就是商店街，逛街买东西超级方便
早餐：不到丰盛，但端出来的都蛮好吃的
服务人员：态度很好，有问必应
停车：无，因为位于闹区所以需自己附近找车位 要花一些时间
整体来说，值得推荐",2016-07-30 10:25:48
340768969,饭店在路面电车的「观光通站」下车，步行不用一分钟，饭店出来就是观光通商店街，美食也很多，眼镜桥、出岛或长崎港…步行就可以沿路参观，地理位置真的很棒。饭店人员服务也超好，女生入住还可以挑选一些用品使用。房间很大也很干净，双人床很好睡超舒服，浴室也很大都不会很拥挤，友人住的是二张床的房间，浴室和厕所是分开的，很适合家庭入住。房间还有附一台小型按摩机。退房后还可以寄放行李，超贴心，下次有机会还是会入住这间饭店。,2016-07-30 10:20:00
339086216,"很棒的地理位置，位于购物商场的入口处。前台服务有四级水平，所以安静而且不过问私事。这个地方似乎很新,所以一切都有很好的形态。员工英语水平很高，还乐于助人。我乘火车到达后,还能在火车站前直接坐有轨电车(只要120日元)到酒店右边的门外,非常简单。早餐和咖啡还行，一般般。",2016-07-26 17:13:40
335968496,酒店处于电车站和有顶棚的购物街的前面，位置非常便利，是长崎一个很好的住宿之地。作为一个当地的连锁酒店，工作人员能讲的英语十分有限，但他们的确会尽自己最大的努力，为我们预订餐馆，使用翻译软件让我们得知结果。这里提供免费的咖啡和热巧克力，这是很受欢迎的。,2016-07-19 17:04:47
