标题,链接,摘要,日期
2024首届中国钠电轻型动力及电力储能大会成功举,http://www.ocpe.com.cn/xinnengyuan/xnzx/7843.html, 6月12日，2024首届中国钠电轻型动力及电力储能大会——宝应“绿水青山&middot;钠赋双碳”新能源产业城市推介会暨中钠能源开业庆典在江苏宝应成功举行 ... ,发布日期：2024-06-14
Enpal的Henning Rath与德国高级别代表团一道加强,http://www.ocpe.com.cn/xinnengyuan/xnzx/7823.html,德国副总理罗伯特&middot;哈贝克(Robert Habeck)率领高级别代表团访问中国，重点关注可再生能源、半导体和电动交通出行。Enpal将探索通过与中国合作，建立先锋灯塔项目的可 ... ,发布日期：2024-06-12
这次真的满了！6.12爱旭颠覆性新品即将面世,http://www.ocpe.com.cn/xinnengyuan/xnzx/7786.html,满，是什么？是以创新追求极限效率，是以匠心打磨至高品质，以颠覆引领行业变革，以无畏突破想象边界，以专业求索满分价值。满载未来，满载期待。爱旭新品发布会将于6月12日 ... ,发布日期：2024-05-30
追光者节，新能源“光储充”时代的生动注解,http://www.ocpe.com.cn/xinnengyuan/xnzx/7640.html,“双碳”浪潮澎湃，在新能源行业，新产品、新业态竞相涌现。 4月21-22日，一年一度的SUN&middot;Day追光者节在合肥隆重举办。新能源行业终端用户、渠道伙伴、行业 ... ,发布日期：2024-04-24
施耐德电气签约水木明拓，联手打造电氢氨一体化,http://www.ocpe.com.cn/xinnengyuan/xnzx/2024-03-06/7446.html,近日，全球能源管理和自动化领域的数字化转型专家施耐德电气与水木明拓（达茂）氢能源科技有限公司（以下简称“水木明拓”）正式签署合作协议，施耐德电气将作为 ... ,发布日期：2024-03-06
网传隆基绿能年后计划裁员3成  裁员标准并不明确,http://www.ocpe.com.cn/xinnengyuan/xnzx/2024-02-23/7390.html,近日，自媒体人“策哥论光伏”爆料某光伏企业再裁员30%，硅片、电池片和逆变器企业是裁员重灾区，面临生死考验。话题一出，该内容抖音点赞量已破2200，评论回复数 ... ,发布日期：2024-02-23
爱旭与捷克SOLSOL签署100MW ABC组件合作协议,http://www.ocpe.com.cn/xinnengyuan/xnzx/2024-02-06/7357.html,2月1日，爱旭股份与捷克知名光伏分销商SOLSOL签署了100MW ABC组件合作协议，共同将产品推向捷克共和国和斯洛伐克市场。SOLSOL首席执行官Radek Orsag说：“作为欧洲光伏 ... ,发布日期：2024-02-06
爱旭股份上榜福布斯中国“新能源科创TOP10图谱”,http://www.ocpe.com.cn/xinnengyuan/xnzx/2024-01-18/7312.html,近期，福布斯中国首次推出“新能源科创TOP10图谱”，爱旭股份凭借在科技创新上的优异表现上榜。“新能源科创TOP10图谱”是福布斯中国通过国内第三方专 ... ,发布日期：2024-01-18
风光氢储一体化，推动零碳中国走向零碳世界,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-12-12/7176.html,当地时间12月9日上午，在《联合国气候变化框架公约》第28次缔约方大会（COP28）期间，由中国生态环境部组织的中国角上，“风光氢储”专场会议在迪拜世博城顺利召 ... ,发布日期：2023-12-12
港华能源助力深圳首座公共机构虚拟电厂正式运营,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-11-20/7087.html,"近日,深圳市首座公共机构虚拟电厂——福田区委大院光储充柔虚拟电厂正式投入运营。国家能源局局长章建华、深圳市市长覃伟中等领导参观了解了该虚拟电厂的运行情况 ... ",发布日期：2023-11-20
城市新亮点丨苏北首座“光储充放检”超充生态站,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-11-13/7053.html,11月11日，江苏淮安市涟水县五岛湖“光储充放检”超充生态站正式对外开放。该充电站由涟水投资控股与特来电共同投资建设，是苏北首座集“光伏车棚、液冷超充 ... ,发布日期：2023-11-13
助力光伏行业绿色发展 科思创携手光伏产业链合作,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-11-09/7037.html,"&middot; 在进博会期间签署六方协议,启动产业链合作平台&middot; 丰富解决方案助力打造更可循环、更轻量化、更高性能的光伏组件&middot; 替代性原材料进一步赋能行业发展,迈 ... ",发布日期：2023-11-09
全国最大整县高海拔风电基地投产,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-11-02/7000.html,10月31日，国家首批大型风电光伏基地项目之一——华电新能盐源公司白乌风电项目12万千瓦机组全容量并网发电。至此，国家千万千瓦级凉山州风电基地项目之一&mdash ... ,发布日期：2023-11-02
第一届能源电子产业创新大赛启动会即将召开,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-09-11/6780.html,创智能源电子，筑梦产业创新！由工业和信息化部产业发展促进中心、宜宾市人民政府、常州市人民政府主办，厦门市工业和信息化局联合主办的第一届能源电子产业创新大赛将于20 ... ,发布日期：2023-09-11
全省首台套|旭氢时代氢燃料电池堆产品正式发布,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-08-18/6673.html,8月15日上午，秦创原院士科技成果产业化暨省内首台套氢燃料电池堆产品发布会在秦创原综合服务中心隆重举行。该系列氢燃料电池堆产品由陕西旭氢时代科技有限公司与西安交通大 ... ,发布日期：2023-08-18
吾盛能源与高邮市城南经济新区签署新能源项目投,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-08-15/6659.html, 日前，江苏省高邮市市委书记张利一行莅临吾盛考察指导，吾盛董事长翟剑波陪同参观考察，双方就新能源领域合作进行了深入沟通交流。张书记一行莅临吾盛考察指导   8月2日， ... ,发布日期：2023-08-15
电池材料 赋能未来―2023八角湾创新大会隆重开幕,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-08-07/6625.html,"8月7日,2023八角湾创新大会在烟台开幕。山东省委常委、烟台市委书记江成,副省长宋军继,中国科学院院士,北京大学党委常委、副校长,八角湾创新大会主席张锦,中国科学院院士,南 ... ",发布日期：2023-08-07
"一场不容错过的光伏大事件!8月8-10日,2023世界太",http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-04-07/6155.html,"为响应国家“双碳”战略,助力新发展格局的构建,由广东省太阳能协会、广东省粤港澳经贸合作促进会、广东鸿威国际会展集团有限公司主办的2023世界太阳能光伏暨储能 ... ",发布日期：2023-04-07
宋炯：施耐德电气直流领域的“绿色创新智慧”,http://www.ocpe.com.cn/xinnengyuan/xnzx/2023-02-09/5981.html, 2021年3月15日，中国首次提出要构建以新能源为主体的新型电力系统。伴随着新型电力系统的构建，包括光储、数据中心、轨道交通、直流建筑等在内的直流配电领域在迎来广阔发 ... ,发布日期：2023-02-09
钠离子电池研究成果入选2020年度中国科学十大进,http://www.ocpe.com.cn/xinnengyuan/xnzx/2021-01-18/4246.html,近日，我国科技部高技术研究发展中心组织的“2020年度中国科学十大进展”评选正式启动，由两院院士、973计划顾问组和咨询组专家、973计划项目首席科学家、国家重 ... ,发布日期：2021-01-18
河北打造氢能产业创新高地,http://www.ocpe.com.cn/xinnengyuan/xnzx/2020-08-31/3824.html, 河北省发改委日前印发《河北省氢能产业链集群化发展三年行动计划（2020-2022年）》（以下简称《计划》）。　　《计划》提出，率先将河北省打造成为全国氢能产业创新发展高 ... ,发布日期：2020-08-31
我国新能源汽车不能“痛失先手”,http://www.ocpe.com.cn/xinnengyuan/xnzx/2020-08-31/3817.html, 尽管4月中国汽车市场整体呈现回暖态势，但新能源汽车产销量仍然持续下滑，自主品牌市场占有率也下滑至七成左右。与之形成鲜明对比的是，受到疫情冲击更加严重的欧洲车市总 ... ,发布日期：2020-05-18
光伏企业破产拍卖思考：中小企业命运几何？,http://www.ocpe.com.cn/xinnengyuan/xnzx/2020-08-24/3704.html, 近日，据光伏行业知名媒体“光伏盒子”的报道，在阿里拍卖平台上，多家老牌光伏企业正进行破产拍卖。如：曾排名硅片制造环节前三的凤凰光伏， 2010年的销售收入 ... ,发布日期：2020-02-25
